Id_answer,OwnerUserId_answer,CreationDate_answer,ParentId,Score_answer,Body_answer,Id_question,OwnerUserId_question,CreationDate_question,ClosedDate,Score_question,Title,Body_question
13210909,978917.0,2012-11-03 16:05:06+00:00,13210880,303,"You can write:
original_string='i love Suzi and Marry'
string_to_replace_Suzi_with=Sara
result_string=""${original_string/Suzi/$string_to_replace_Suzi_with}""

",13210880,1796726.0,2012-11-03 16:01:23+00:00,,183,Replace one substring for another string in shell script,"I have ""I love Suzi and Marry"" and I want to change ""Suzi"" to ""Sara"".
#!/bin/bash
firstString=""I love Suzi and Marry""
secondString=""Sara""
# do something...

The result must be like this:
firstString=""I love Sara and Marry""

"
1489873,180697.0,2009-09-28 23:35:57+00:00,1489830,72,"Well, the most efficient way, presuming you know the size of the integer, would be a lookup.  Should be faster than the much shorter logarithm based approach.  If you don't care about counting the '-', remove the + 1.
// generic solution
template <class T>
int numDigits(T number)
{
    int digits = 0;
    if (number < 0) digits = 1; // remove this line if '-' counts as a digit
    while (number) {
        number /= 10;
        digits++;
    }
    return digits;
}

// partial specialization optimization for 32-bit numbers
template<>
int numDigits(int32_t x)
{
    if (x == MIN_INT) return 10 + 1;
    if (x < 0) return numDigits(-x) + 1;

    if (x >= 10000) {
        if (x >= 10000000) {
            if (x >= 100000000) {
                if (x >= 1000000000)
                    return 10;
                return 9;
            }
            return 8;
        }
        if (x >= 100000) {
            if (x >= 1000000)
                return 7;
            return 6;
        }
        return 5;
    }
    if (x >= 100) {
        if (x >= 1000)
            return 4;
        return 3;
    }
    if (x >= 10)
        return 2;
    return 1;
}

// partial-specialization optimization for 8-bit numbers
template <>
int numDigits(char n)
{
    // if you have the time, replace this with a static initialization to avoid
    // the initial overhead & unnecessary branch
    static char x[256] = {0};
    if (x[0] == 0) {
        for (char c = 1; c != 0; c++)
            x[c] = numDigits((int32_t)c);
        x[0] = 1;
    }
    return x[n];
}

",1489830,141203.0,2009-09-28 23:20:15+00:00,,86,Efficient way to determine number of digits in an integer,"What is a very efficient way of determining how many digits there are in an integer in C++?
"
12207237,398670.0,2012-08-30 23:58:56+00:00,12206600,261,"See populate a database in the PostgreSQL manual, depesz's excellent-as-usual article on the topic, and this SO question.
There's lots to be done. The ideal solution would be to import into an UNLOGGED table without indexes, then change it to logged and add the indexes. Unfortunately in PostgreSQL 9.4 there's no support for changing tables from UNLOGGED to logged. 9.5 adds ALTER TABLE ... SET LOGGED to permit you to do this.
If you can take your database offline for the bulk import, use pg_bulkload.
Otherwise:

Disable any triggers on the table
Drop indexes before starting the import, re-create them afterwards. (It takes much less time to build an index in one pass than it does to add the same data to it progressively, and the resulting index is much more compact).
If doing the import within a single transaction, it's safe to drop foreign key constraints, do the import, and re-create the constraints before committing. Do not do this if the import is split across multiple transactions as you might introduce invalid data.
If possible, use COPY instead of INSERTs
If you can't use COPY consider using multi-valued INSERTs if practical. You seem to be doing this already. Don't try to list too many values in a single VALUES though; those values have to fit in memory a couple of times over, so keep it to a few hundred per statement.
Batch your inserts into explicit transactions, doing hundreds of thousands or millions of inserts per transaction. There's no practical limit AFAIK, but batching will let you recover from an error by marking the start of each batch in your input data. Again, you seem to be doing this already.
Use synchronous_commit=off and a huge commit_delay to reduce fsync() costs. This won't help much if you've batched your work into big transactions, though.
INSERT or COPY in parallel from several connections. How many depends on your hardware's disk subsystem; as a rule of thumb, you want one connection per physical hard drive if using direct attached storage.
Set a high checkpoint_segments value and enable log_checkpoints. Look at the PostgreSQL logs and make sure it's not complaining about checkpoints occurring too frequently.
If and only if you don't mind losing your entire PostgreSQL cluster (your database and any others on the same cluster) to catastrophic corruption if the system crashes during the import, you can stop Pg, set fsync=off, start Pg, do your import, then (vitally) stop Pg and set fsync=on again. See WAL configuration. Do not do this if there is already any data you care about in any database on your PostgreSQL install. If you set fsync=off you can also set full_page_writes=off; again, just remember to turn it back on after your import to prevent database corruption and data loss. See non-durable settings in the Pg manual.

You should also look at tuning your system:

Use good quality SSDs for storage as much as possible. Good SSDs with reliable, power-protected write-back caches make commit rates incredibly faster. They're less beneficial when you follow the advice above - which reduces disk flushes / number of fsync()s - but can still be a big help. Do not use cheap SSDs without proper power-failure protection unless you don't care about keeping your data.
If you're using RAID 5 or RAID 6 for direct attached storage, stop now. Back your data up, restructure your RAID array to RAID 10, and try again. RAID 5/6 are hopeless for bulk write performance - though a good RAID controller with a big cache can help.
If you have the option of using a hardware RAID controller with a big battery-backed write-back cache this can really improve write performance for workloads with lots of commits. It doesn't help as much if you're using async commit with a commit_delay or if you're doing fewer big transactions during bulk loading.
If possible, store WAL (pg_xlog) on a separate disk / disk array. There's little point in using a separate filesystem on the same disk. People often choose to use a RAID1 pair for WAL. Again, this has more effect on systems with high commit rates, and it has little effect if you're using an unlogged table as the data load target.

You may also be interested in Optimise PostgreSQL for fast testing.
",12206600,184773.0,2012-08-30 22:39:25+00:00,,93,How to speed up insertion performance in PostgreSQL,"I am testing Postgres insertion performance. I have a table with one column with number as its data type. There is an index on it as well. I filled the database up using this query:
insert into aNumber (id) values (564),(43536),(34560) ...

I inserted 4 million rows very quickly 10,000 at a time with the query above. After the database reached 6 million rows performance drastically declined to 1 Million rows every 15 min. Is there any trick to increase insertion performance? I need optimal insertion performance on this project.
Using Windows 7 Pro on a machine with 5 GB RAM.
"
5426484,17944.0,2011-03-24 22:47:42+00:00,647370,73,"The ActiveSupport presence method converts an empty (or blank?) string to nil.  It's designed for your exact use case:
word.infinitive.presence || word

Note that you can easily use ActiveSupport outside of rails:
require 'active_support/core_ext/object/blank'

",647370,25990.0,2009-03-15 05:59:52+00:00,,15,Converting an empty string into nil in Ruby,"I have a string called word and a function called infinitive such that
word.infinitive would return another string on some occasions and an empty string otherwise
I am trying to find an elegant ruby one line expression for the code-snippet below  
if word.infinitive == """"
      return word
else return word.infinitive

Had infinitive returned nil instead of """", I could have done something like
(word.infinitive or word)

But since it does not, I can't take advantage of the short-circuit OR
Ideally I would want
1) a single expression that I could easily embed in other code
2) the function infinitive being called only once
3) to not add any custom gems or plugins into my code
"
14583891,2021799.0,2013-01-29 13:19:12+00:00,3626250,72,"Razor @ escape char to symbols...
<img src=""..."" alt=""Find me on twitter as @(""@username"")"" />

or
<img src=""..."" alt=""Find me on twitter as @(""@"")username"" />

",3626250,398368.0,2010-09-02 10:35:14+00:00,,370,Escape @ character in razor view engine,"I am creating a sample ASP.NET MVC 3 site using Razor as view engine. The razor syntax starts with @ character e.g. @RenderBody(). If I write @test on my cshtml page it gives me parse error

CS0103: The name 'test' does not exist in the current context

How do I escape '@' character?
"
12702636,1388319.0,2012-10-03 05:58:13+00:00,12702080,60,"There isn't an explain() feature for the Aggregation Framework as at MongoDB 2.2.0, however you should read up on the documentation regarding Optimizing Performance.
The following pipeline operators take advantage of an index when they occur at the beginning of the pipeline:
$match $sort $limit $skip

The above operators can also use an index when placed before the following aggregation operators:
$project $unwind $group

So for your specific example, the pipeline will execute faster if you add an initial $match at the beginning to reduce the number of documents that need to be projected/unwound for the subsequent $match.
Update
MongoDB 2.6 (which is currently a Release Candidate) now includes an explain option for the aggregation pipeline.
db.collection.aggregate([
    { $project : { ""Tags._id"" : 1 }},
    { $unwind : ""$Tags"" },
    { $match: {$or: [{""Tags._id"":""tag1""},{""Tags._id"":""tag2""}]}},
    { $group: { 
        _id : ""$_id"",
        count: { $sum:1 } 
    }},
    {$sort: {""count"":-1}}
  ],
  {
    explain:true
  }
)

",12702080,569353.0,2012-10-03 04:50:51+00:00,,48,Mongodb Explain for Aggregation framework,"
Is there an explain function for the Aggregation framework in MongoDB? I can't see it in the documentation.
If not is there some other way to check, how a query performs within the aggregation framework?
I know with find you just do 
db.collection.find().explain()

But with the aggregation framework I get an error
db.collection.aggregate(
    { $project : { ""Tags._id"" : 1 }},
    { $unwind : ""$Tags"" },
    { $match: {$or: [{""Tags._id"":""tag1""},{""Tags._id"":""tag2""}]}},
    { 
        $group: 
        { 
            _id : { id: ""$_id""},
            ""count"": { $sum:1 } 
        }
    },
    { $sort: {""count"":-1}}
).explain()

"
251453,7441.0,2008-10-30 19:35:41+00:00,251420,402,"Assume your iFrame's id is ""targetFrame"" and the function you want to call is targetFunction():
document.getElementById('targetFrame').contentWindow.targetFunction();

You can also access the frame using window.frames instead of document.getElementById.
// this option does not work in most of latest versions of chrome and Firefox
window.frames[0].frameElement.contentWindow.targetFunction(); 

",251420,8954.0,2008-10-30 19:27:56+00:00,,465,Invoking JavaScript code in an iframe from the parent page,"Basically, I have an iframe embedded in a page and the iframe has some JavaScript routines I need to invoke from the parent page.
Now the opposite is quite simple as you only need to call parent.functionName(), but unfortunately I need exactly the opposite of that.
Please note that my problem is not changing the source URL of the iframe, but invoking a function defined in the iframe.
"
22934568,1533342.0,2014-04-08 10:42:03+00:00,6174550,127,"Just 3 steps to configuration Eclipse IDE:

Note: After updating the Source Lookup paths, you'll have to stop and restart your debug session.  Otherwise, the file with the missing source will continue to show ""missing source"".

Edit Source Lookup
Select the Edit Source Lookup... command [ Edit Source Lookup ] to open the Source Path Dialog, which allows you to make changes to the source lookup path of the selected debug target.



",6174550,348545.0,2011-05-30 09:36:46+00:00,,96,Eclipse java debugging: source not found,"While debugging a java app in eclipse I receive a ""Source not found"" error in two cases:

Stepping in to a file in a different project which is already imported
Stepping in to a file in an installed maven repository

The files are there, but eclipse won't step into them, instead it shows a button to ""attach source""
I tried attaching (which opened a dialog to define a variable?!) and eclipse did jump to the file, but the debugger could not inspect any variables there. Also manually attaching the source for each dependency isn't practical, as in my case there are thousands of dependency files.
I'm new to eclipse\java so an explanation of why this is happening + how to resolve this would help a lot!
"
8827135,852081.0,2012-01-11 21:46:26+00:00,8827070,90,"Add this in the <head> of your html:
<meta name=""viewport"" content=""initial-scale=1, maximum-scale=1"">

It will scale the page to fit your device size.
",8827070,918055.0,2012-01-11 21:41:18+00:00,,23,Jquery Mobile size is too small,"I'm making an app on PhoneGap using Jquery Mobile. The app runs fine on the PC browser and on the simulator, but when I install it on my phone everything is very small. 
On my home page I have a listView that is searchable, and when I tap the textfield to search something the page adjusts to a more readable size.
How can I solve this? I want it to be readable from the start.
"
5008233,92866.0,2011-02-15 19:00:21+00:00,5008060,70,"I think what you're looking for are called class extensions.  You would declare the property read-only in the header:
@interface MyClass : NSObject {
}

@property (readonly, assign) NSInteger myInteger;

@end

Then redeclare in your class extension in the implementation file:
@interface MyClass ()

@property (readwrite, assign) NSInteger myInteger;

@end


@implementation MyClass

@end

For more check out Apple's documentation
",5008060,79.0,2011-02-15 18:45:56+00:00,,43,"Objective-C property that is readonly publicly, but has a private setter","I'd like to use the @property syntax to declare a synthesized property that is publicly readonly but has a setter that can be called privately from within the class.
Since it's Objective-C, this basically means that the setFoo: method would be synthesized, but calling it outside of the class itself would result in a warning (unrecognized selector). To trigger the warning I have to declare the property readonly; is there any way to force a synthesized setter that is only available within the class?
"
